Phase,ID
ソリューションなし,0
Gold, 1

ポイント,x,y,Crystal ID,h,k,l,u,v,w,Phi1,Phi2,Phi,パターン クオリティ,誤差角度

1,0,0,1,11,-12,-3,15,12,7,41.95,20.09,99.22,44,2.22
2,1,0,0,, , , , , , , , ,39,0
3,2,0,0,, , , , , , , , ,27,0
4,3,0,1,6,11,-15,23,-3,7,151.69,152.99,139.40,63,1.72
5,4,0,0,, , , , , , , , ,51,0
6,5,0,0,, , , , , , , , ,41,0
7,6,0,0,, , , , , , , , ,54,0
8,7,0,1,-8,13,6,21,18,-11,211.30,203.83,68.66,47,3.49
9,8,0,0,, , , , , , , , ,62,0
10,9,0,1,0,0,-1,1,20,0,83.07,355.93,178.19,53,3.34
11,10,0,1,14,-1,-12,17,-2,20,85.22,91.24,130.36,43,1.51
12,11,0,1,0,7,10,14,10,-7,179.67,221.06,35.02,52,3.41
13,12,0,1,-10,14,5,19,15,-4,215.66,190.25,74.06,34,2.82
14,13,0,1,3,20,-1,7,-1,1,172.37,171.82,92.22,35,3.20
15,14,0,0,, , , , , , , , ,56,0
16,15,0,1,1,-4,6,22,13,5,13.56,20.20,34.34,47,2.83
17,16,0,1,0,9,-1,2,-3,-27,178.93,264.91,96.05,46,2.70
18,17,0,1,-4,8,-5,7,11,12,207.39,129.20,118.38,35,2.95
19,18,0,0,, , , , , , , , ,40,0
20,19,0,1,5,-11,13,2,21,17,24.01,67.89,42.95,46,2.96
21,20,0,1,17,3,11,3,16,-9,99.51,324.83,58.18,37,3.21
22,21,0,1,12,-2,-11,8,15,6,80.12,26.68,132.58,46,3.43
23,22,0,0,, , , , , , , , ,33,0
24,23,0,1,6,1,-5,7,23,13,99.23,38.16,128.80,38,3.30
25,24,0,0,, , , , , , , , ,41,0
26,25,0,1,-13,1,8,10,-6,17,266.08,75.44,58.48,37,3.35
27,26,0,0,, , , , , , , , ,43,0
28,27,0,1,7,-12,10,22,17,5,29.89,13.14,55.06,50,2.68
29,28,0,0,, , , , , , , , ,34,0
30,29,0,1,-1,10,0,20,2,-1,185.50,182.71,88.12,34,2.34
31,30,0,1,7,12,-6,18,-10,1,150.37,176.57,112.57,34,3.08
32,31,0,1,2,17,8,29,-2,-3,173.34,186.72,65.38,49,3.32
33,32,0,0,, , , , , , , , ,45,0
34,33,0,0,, , , , , , , , ,37,0
35,34,0,0,, , , , , , , , ,39,0
36,35,0,0,, , , , , , , , ,45,0
37,36,0,1,11,-3,-16,13,-11,11,76.43,111.82,144.23,34,2.21
38,37,0,1,0,1,2,7,2,-1,177.38,200.05,26.35,34,1.30
39,38,0,1,9,13,-12,18,-6,7,145.72,154.51,126.76,45,3.34
40,39,0,0,, , , , , , , , ,24,0
41,40,0,1,0,13,6,1,0,0,180.15,181.62,65.15,49,3.44
42,41,0,0,, , , , , , , , ,43,0
43,42,0,0,, , , , , , , , ,49,0
44,43,0,1,10,-5,14,-5,4,5,63.17,80.25,37.94,31,2.71
45,44,0,0,, , , , , , , , ,28,0
46,45,0,1,8,-3,11,16,17,-7,69.57,331.46,37.39,39,2.44
47,46,0,1,5,-7,-16,9,11,-2,35.71,343.23,151.05,43,3.39
48,47,0,0,, , , , , , , , ,36,0
49,48,0,1,-11,14,7,7,0,11,218.69,115.84,68.32,36,3.22
50,49,0,1,9,-9,5,18,13,-9,45.67,335.81,68.03,38,2.88
51,50,0,1,11,1,6,-1,11,0,94.97,359.22,61.28,44,3.06
52,51,0,1,16,-5,3,2,7,1,72.91,10.15,79.43,29,3.33
53,52,0,1,8,1,-17,1,26,2,98.10,10.66,154.32,49,3.36
54,53,0,0,, , , , , , , , ,41,0
55,54,0,1,-1,4,4,-4,32,-33,190.90,267.30,45.32,54,2.38
56,55,0,0,, , , , , , , , ,32,0
57,56,0,1,12,-4,9,17,6,-20,71.69,293.91,55.66,26,3.46
58,57,0,0,, , , , , , , , ,36,0
59,58,0,1,4,6,11,-1,8,-4,147.14,305.45,33.48,45,1.64
60,59,0,1,8,-9,5,21,17,-3,41.93,352.25,67.68,40,2.97
61,60,0,1,11,-7,2,2,4,3,57.30,34.05,80.84,37,3.38
62,61,0,1,15,-6,-10,6,5,6,69.59,46.71,121.65,41,3.28
63,62,0,0,, , , , , , , , ,17,0
64,63,0,0,, , , , , , , , ,45,0
65,0,1,0,, , , , , , , , ,36,0
66,1,1,0,, , , , , , , , ,62,0
67,2,1,1,-9,14,11,25,9,9,212.57,157.54,56.71,51,3.17
68,3,1,1,2,9,4,11,2,-10,166.60,226.69,66.43,43,2.27
69,4,1,1,2,-9,6,27,10,6,12.63,14.18,58.04,54,3.37
70,5,1,1,9,-14,0,14,9,14,32.50,39.17,89.47,34,3.34
71,6,1,1,17,0,-6,6,-19,17,88.05,135.98,110.75,47,1.90
72,7,1,1,-1,5,5,10,13,-11,191.24,231.46,45.02,58,1.43
73,8,1,1,2,20,1,29,-3,2,174.45,175.30,87.39,47,2.73
74,9,1,0,, , , , , , , , ,39,0
75,10,1,1,-2,-2,13,25,1,4,310.34,52.64,12.01,55,3.42
76,11,1,1,11,-5,-6,13,19,8,65.71,21.45,116.58,53,2.37
77,12,1,1,5,3,8,25,1,-16,121.20,246.39,35.75,58,3.29
78,13,1,0,, , , , , , , , ,46,0
79,14,1,1,-6,15,-11,4,17,21,202.19,112.44,123.92,58,2.85
80,15,1,0,, , , , , , , , ,43,0
81,16,1,0,, , , , , , , , ,32,0
82,17,1,1,-12,9,-11,16,3,-15,233.82,238.93,126.76,37,2.90
83,18,1,1,1,-15,1,27,1,-12,3.01,336.46,87.42,39,2.59
84,19,1,1,1,14,6,2,5,-12,177.50,262.97,67.41,42,3.16
85,20,1,1,-4,11,13,17,-8,12,200.62,125.40,41.62,39,1.33
86,21,1,0,, , , , , , , , ,42,0
87,22,1,1,5,-6,-2,10,13,-14,39.86,318.09,103.68,67,3.42
88,23,1,0,, , , , , , , , ,48,0
89,24,1,1,1,-7,15,25,10,3,8.33,14.12,25.54,50,3.17
90,25,1,1,3,-4,4,16,1,-11,37.88,313.52,51.50,44,2.90
91,26,1,1,10,-6,11,-6,23,18,58.65,56.54,46.33,28,3.41
92,27,1,1,14,8,-11,1,1,2,120.38,79.51,124.24,41,1.51
93,28,1,1,6,-10,1,14,9,6,31.00,20.11,84.12,40,3.46
94,29,1,0,, , , , , , , , ,31,0
95,30,1,1,15,9,-8,1,1,3,121.22,83.77,114.29,33,3.48
96,31,1,0,, , , , , , , , ,36,0
97,32,1,0,, , , , , , , , ,33,0
98,33,1,0,, , , , , , , , ,55,0
99,34,1,1,-2,7,-14,28,10,1,195.54,175.72,153.03,65,2.32
100,35,1,1,0,13,2,1,0,0,179.37,180.47,81.21,46,3.06
101,36,1,1,13,-12,0,12,13,23,46.38,52.52,89.57,42,3.41
102,37,1,0,, , , , , , , , ,31,0
103,38,1,0,, , , , , , , , ,43,0
104,39,1,0,, , , , , , , , ,27,0
105,40,1,0,, , , , , , , , ,57,0
106,41,1,1,14,3,3,-6,15,13,102.34,39.81,78.78,37,3.19
107,42,1,1,13,5,14,-3,19,-4,111.98,341.95,45.09,33,3.29
108,43,1,0,, , , , , , , , ,34,0
109,44,1,1,0,17,2,-2,-2,17,179.59,82.83,83.49,37,2.87
110,45,1,0,, , , , , , , , ,40,0
111,46,1,1,-9,10,-12,-2,9,9,221.06,110.26,132.10,53,3.22
112,47,1,1,2,4,-17,2,-1,0,154.88,180.99,165.14,37,2.77
113,48,1,1,0,-5,13,1,0,0,3.73,356.80,20.96,38,2.25
114,49,1,1,3,6,5,13,11,-21,152.08,256.39,52.57,41,3.11
115,50,1,0,, , , , , , , , ,39,0
116,51,1,1,-4,6,-5,18,7,-6,214.01,201.36,124.95,53,3.37
117,52,1,1,-1,-6,13,6,-1,0,349.27,2.55,25.52,45,3.44
118,53,1,1,5,2,-13,11,5,5,110.25,85.84,158.20,44,3.12
119,54,1,1,1,9,-13,5,-2,-1,172.54,199.27,145.42,36,3.39
120,55,1,1,-5,6,11,9,2,3,219.71,147.19,35.27,45,3.46
121,56,1,0,, , , , , , , , ,30,0
122,57,1,1,11,-1,-12,16,20,13,84.14,41.20,136.88,48,3.06
123,58,1,1,13,-8,5,1,1,-1,58.42,325.48,71.98,49,3.44
124,59,1,1,-15,9,-8,3,13,9,239.23,141.17,114.41,45,2.93
125,60,1,0,, , , , , , , , ,36,0
126,61,1,1,8,-4,-1,8,11,20,63.61,56.78,96.34,51,3.20
127,62,1,1,-10,13,-6,7,4,-3,217.66,200.59,110.08,34,3.26
128,63,1,1,11,-6,3,0,1,2,61.29,67.38,75.62,39,3.29
129,0,2,1,-3,11,8,17,-7,16,194.69,127.49,55.00,47,3.21
130,1,2,1,18,-4,-5,10,15,24,76.20,55.90,104.85,60,3.11
131,2,2,1,11,9,-14,7,-21,-8,129.30,208.60,134.97,55,2.99
132,3,2,0,, , , , , , , , ,36,0
133,4,2,0,, , , , , , , , ,43,0
134,5,2,0,, , , , , , , , ,55,0
135,6,2,0,, , , , , , , , ,54,0
136,7,2,0,, , , , , , , , ,44,0
137,8,2,1,-5,18,2,26,6,11,195.54,157.47,84.15,55,3.14
138,9,2,1,5,-3,-5,7,25,-8,58.29,336.39,131.40,47,3.38
139,10,2,1,20,-3,1,0,1,3,82.11,68.87,87.60,45,2.97
140,11,2,1,0,9,2,21,4,-18,181.21,220.61,78.53,43,2.13
141,12,2,1,9,-10,5,15,20,13,42.43,29.71,70.02,47,3.46
142,13,2,0,, , , , , , , , ,48,0
143,14,2,0,, , , , , , , , ,44,0
144,15,2,0,, , , , , , , , ,55,0
145,16,2,1,-13,9,-10,-6,8,15,236.05,100.36,121.88,40,3.41
146,17,2,1,-8,14,9,19,7,6,208.67,162.10,60.35,30,2.94
147,18,2,0,, , , , , , , , ,28,0
148,19,2,1,9,-4,3,7,24,11,65.76,24.61,71.89,25,3.18
149,20,2,1,3,-1,-2,15,13,16,68.79,46.57,119.80,47,2.66
150,21,2,1,2,20,-3,27,-3,-2,174.76,184.73,98.34,45,3.39
151,22,2,1,1,4,-13,9,1,1,165.96,159.01,163.05,40,3.15
152,23,2,1,14,3,-6,3,0,7,101.78,93.46,112.76,51,2.73
153,24,2,1,-3,6,-7,19,13,3,206.69,168.95,136.21,48,3.25
154,25,2,0,, , , , , , , , ,37,0
155,26,2,0,, , , , , , , , ,53,0
156,27,2,1,10,-2,-9,7,-1,8,78.55,88.48,131.79,54,3.42
157,28,2,0,, , , , , , , , ,55,0
158,29,2,1,1,3,18,9,9,-2,171.49,233.96,11.11,42,3.24
159,30,2,1,-3,8,14,10,16,-7,199.72,223.36,31.70,51,3.20
160,31,2,0,, , , , , , , , ,42,0
161,32,2,1,14,-7,8,6,20,7,62.56,22.03,63.10,43,1.25
162,33,2,1,0,3,-1,16,-5,-15,178.89,224.35,107.27,59,3.13
163,34,2,1,7,3,-8,9,11,12,114.67,70.63,136.55,46,3.41
164,35,2,1,-5,9,3,3,0,5,208.58,117.37,74.45,37,3.05
165,36,2,1,-1,6,7,15,-8,9,189.18,134.90,39.56,35,1.92
166,37,2,1,17,-5,-3,-1,8,-19,73.08,291.13,99.07,28,1.94
167,38,2,1,14,-8,-9,9,27,-10,61.20,338.26,118.58,45,2.80
168,39,2,1,1,16,3,26,1,-14,176.91,208.55,79.81,41,3.37
169,40,2,0,, , , , , , , , ,48,0
170,41,2,1,2,0,15,30,-3,-4,102.98,251.26,7.42,48,2.85
