Phase,ID
ソリューションなし,0
Gold, 1

ポイント,x,y,Crystal ID,h,k,l,u,v,w,Phi1,Phi2,Phi,パターン クオリティ,誤差角度

1,0,0,0,, , , , , , , , ,68,0
2,1,0,0,, , , , , , , , ,68,0
3,2,0,1,11,-1,16,24,-8,-17,87.19,257.26,34.56,52,1.71
4,3,0,0,, , , , , , , , ,63,0
5,4,0,0,, , , , , , , , ,58,0
6,5,0,1,3,5,-10,5,-23,-10,149.10,230.60,150.03,61,2.95
7,6,0,0,, , , , , , , , ,50,0
8,7,0,0,, , , , , , , , ,82,0
9,8,0,0,, , , , , , , , ,98,0
10,9,0,1,9,9,-16,22,-6,9,134.27,143.12,141.95,83,2.88
11,10,0,0,, , , , , , , , ,67,0
12,11,0,1,5,-7,-12,13,-1,6,35.55,46.04,144.77,71,2.90
13,12,0,0,, , , , , , , , ,80,0
14,13,0,1,13,-1,-5,2,21,1,85.55,1.60,110.67,66,2.58
15,14,0,0,, , , , , , , , ,70,0
16,15,0,0,, , , , , , , , ,60,0
17,16,0,0,, , , , , , , , ,57,0
18,17,0,0,, , , , , , , , ,54,0
19,18,0,1,1,9,-7,24,-5,-3,173.71,188.74,127.58,75,2.91
20,19,0,0,, , , , , , , , ,61,0
21,20,0,0,, , , , , , , , ,42,0
22,21,0,1,-1,8,7,14,7,-6,187.38,208.08,50.26,51,2.88
23,22,0,0,, , , , , , , , ,52,0
24,23,0,0,, , , , , , , , ,82,0
25,24,0,1,-7,18,3,12,3,10,200.61,140.32,81.01,52,2.67
26,25,0,1,-8,5,1,-1,-5,17,238.86,73.85,84.35,46,2.74
27,26,0,1,1,2,-19,-7,13,1,159.16,41.43,174.75,41,1.06
28,27,0,0,, , , , , , , , ,79,0
29,28,0,1,-2,2,3,13,-8,14,222.25,101.79,44.08,88,1.30
30,29,0,1,-5,3,3,12,5,15,238.06,122.16,63.72,67,2.01
31,30,0,0,, , , , , , , , ,53,0
32,31,0,1,-6,8,-9,-5,12,14,216.66,99.30,131.45,49,1.87
33,32,0,0,, , , , , , , , ,36,0
34,33,0,1,1,7,15,8,1,-1,170.68,198.00,24.87,57,2.00
35,34,0,0,, , , , , , , , ,49,0
36,35,0,1,1,-3,14,14,0,-1,22.69,337.72,12.45,107,2.67
37,36,0,0,, , , , , , , , ,120,0
38,37,0,1,1,-2,11,11,0,-1,22.84,336.94,12.02,143,2.69
39,38,0,1,1,-2,11,11,0,-1,23.49,336.42,11.58,143,1.83
40,39,0,0,, , , , , , , , ,180,0
41,40,0,1,14,-9,8,-9,10,27,57.27,83.83,64.66,153,2.91
42,41,0,1,1,11,2,11,-1,0,175.26,180.48,79.21,179,2.47
43,42,0,0,, , , , , , , , ,154,0
44,43,0,1,5,7,-9,10,7,11,146.08,105.95,135.63,135,2.77
45,44,0,1,1,18,8,4,2,-5,177.64,234.84,65.54,164,2.34
46,45,0,1,-1,7,9,19,4,-1,188.06,184.20,37.90,182,3.00
47,46,0,0,, , , , , , , , ,194,0
48,47,0,0,, , , , , , , , ,200,0
49,48,0,1,-3,1,20,13,19,1,245.75,170.35,7.89,205,2.89
50,49,0,0,, , , , , , , , ,203,0
51,50,0,1,-1,14,-11,27,-2,-5,183.56,193.18,129.11,195,2.94
52,51,0,1,-1,7,9,26,5,-1,188.27,183.90,37.90,201,2.77
53,52,0,1,-1,7,9,19,4,-1,188.34,184.04,37.99,208,2.40
54,53,0,1,1,-3,-20,22,14,-1,26.48,353.10,170.78,199,2.69
55,54,0,0,, , , , , , , , ,205,0
56,55,0,0,, , , , , , , , ,203,0
57,56,0,0,, , , , , , , , ,193,0
58,57,0,0,, , , , , , , , ,196,0
59,58,0,1,-5,9,-3,-15,-2,19,208.94,53.93,106.47,192,2.56
60,59,0,1,-2,13,-10,18,2,-1,188.29,184.37,127.22,195,2.79
61,60,0,1,12,-2,-15,1,21,-2,80.19,351.34,141.78,191,2.94
62,61,0,0,, , , , , , , , ,173,0
63,62,0,0,, , , , , , , , ,172,0
64,63,0,0,, , , , , , , , ,175,0
65,64,0,1,-1,7,9,19,4,-1,188.51,183.95,38.10,180,1.82
66,65,0,0,, , , , , , , , ,186,0
67,66,0,0,, , , , , , , , ,175,0
68,67,0,0,, , , , , , , , ,150,0
69,68,0,0,, , , , , , , , ,172,0
70,69,0,0,, , , , , , , , ,185,0
71,70,0,0,, , , , , , , , ,190,0
72,71,0,0,, , , , , , , , ,188,0
73,72,0,0,, , , , , , , , ,187,0
74,73,0,1,14,1,2,-1,14,0,94.68,359.71,82.95,190,2.52
75,74,0,0,, , , , , , , , ,185,0
76,75,0,0,, , , , , , , , ,191,0
77,76,0,0,, , , , , , , , ,186,0
78,77,0,0,, , , , , , , , ,167,0
79,78,0,0,, , , , , , , , ,129,0
80,79,0,1,3,-2,-3,5,12,-3,55.47,342.79,131.07,137,2.93
81,80,0,1,3,-2,2,8,7,-5,55.94,331.00,62.62,155,2.83
82,81,0,1,-9,14,10,8,13,-11,212.74,222.97,59.69,162,1.53
83,82,0,1,-3,2,17,2,3,0,233.27,178.70,12.12,160,2.03
84,83,0,1,-2,3,2,5,8,-7,212.82,223.60,59.99,165,2.88
85,84,0,1,14,-10,9,13,11,-8,55.43,330.50,62.32,158,2.17
86,85,0,1,14,-9,-10,13,8,11,57.43,43.44,120.53,167,2.63
87,86,0,1,11,-7,-12,5,13,-3,57.76,343.63,132.11,132,2.98
88,87,0,0,, , , , , , , , ,102,0
89,88,0,0,, , , , , , , , ,103,0
90,89,0,0,, , , , , , , , ,168,0
91,90,0,0,, , , , , , , , ,173,0
92,91,0,0,, , , , , , , , ,176,0
93,92,0,0,, , , , , , , , ,184,0
94,93,0,0,, , , , , , , , ,185,0
95,94,0,0,, , , , , , , , ,188,0
96,95,0,0,, , , , , , , , ,190,0
97,96,0,0,, , , , , , , , ,189,0
98,97,0,1,7,2,11,17,-10,-9,105.50,229.62,33.90,181,2.38
99,98,0,0,, , , , , , , , ,182,0
100,99,0,0,, , , , , , , , ,171,0
101,100,0,0,, , , , , , , , ,171,0
102,101,0,1,3,-3,1,13,5,-24,45.04,297.63,76.29,122,2.86
103,102,0,0,, , , , , , , , ,122,0
104,103,0,0,, , , , , , , , ,107,0
105,104,0,0,, , , , , , , , ,96,0
106,105,0,0,, , , , , , , , ,88,0
107,106,0,0,, , , , , , , , ,79,0
108,107,0,1,-1,12,-3,18,-1,-10,184.07,210.26,103.94,65,2.67
109,108,0,1,1,8,0,24,-3,-16,172.39,213.87,88.98,68,2.79
