Phase,ID
ソリューションなし,0
Gold, 1

ポイント,x,y,Crystal ID,h,k,l,u,v,w,Phi1,Phi2,Phi,パターン クオリティ,誤差角度

1,0,0,1,11,-12,7,-1,-12,-19,42.32,247.21,67.02,85,3.11
2,1,0,1,2,-8,7,9,11,10,15.10,48.41,49.73,100,2.82
3,2,0,0,, , , , , , , , ,85,0
4,3,0,0,, , , , , , , , ,91,0
5,4,0,0,, , , , , , , , ,83,0
6,5,0,1,9,-7,5,1,12,15,52.00,58.82,67.10,100,3.49
7,6,0,1,5,19,6,27,-3,-13,165.78,206.62,73.51,123,2.98
8,7,0,1,7,13,-13,13,7,14,150.74,113.65,132.12,144,3.48
9,8,0,0,, , , , , , , , ,158,0
10,9,0,1,12,-10,3,-1,6,24,50.43,81.18,78.71,163,2.50
11,10,0,1,-4,19,3,-1,-1,5,191.24,76.01,81.48,170,2.59
12,11,0,1,10,-14,1,10,9,26,36.08,63.48,87.11,155,3.31
13,12,0,0,, , , , , , , , ,129,0
14,13,0,1,11,-13,7,7,14,15,39.50,47.87,67.78,118,3.44
15,14,0,1,12,7,12,5,12,-12,120.78,296.33,48.04,131,2.96
16,15,0,1,-2,5,-11,13,-19,-11,203.50,259.93,154.13,109,2.93
17,16,0,1,-4,1,-18,22,-2,-5,256.16,261.32,167.02,94,1.54
18,17,0,1,1,14,3,1,-2,9,175.56,96.48,77.83,78,2.80
19,18,0,1,3,8,9,26,-3,-6,159.00,199.50,44.07,55,3.31
20,19,0,1,9,-11,2,7,5,-4,39.19,336.04,82.33,133,3.35
21,20,0,0,, , , , , , , , ,149,0
22,21,0,0,, , , , , , , , ,159,0
23,22,0,1,9,-7,-15,-3,24,-13,51.36,308.45,142.07,164,3.14
24,23,0,1,8,-7,-13,-1,10,-6,48.79,306.70,140.46,155,3.10
25,24,0,1,13,-2,4,8,18,-17,79.97,317.57,73.57,156,3.20
26,25,0,0,, , , , , , , , ,142,0
27,26,0,0,, , , , , , , , ,122,0
28,27,0,1,0,12,7,24,-7,12,178.53,150.65,60.37,84,3.30
29,28,0,1,-3,13,-13,13,-17,-20,193.31,252.12,134.13,46,3.16
30,29,0,1,-1,0,2,22,-13,11,271.51,60.71,26.92,64,3.34
31,30,0,1,17,1,-1,-1,28,11,93.13,21.20,93.39,79,3.24
32,31,0,1,1,11,13,-1,-7,6,174.01,87.99,40.46,31,3.01
33,32,0,0,, , , , , , , , ,79,0
34,33,0,0,, , , , , , , , ,116,0
35,34,0,0,, , , , , , , , ,84,0
36,35,0,0,, , , , , , , , ,86,0
37,36,0,1,11,-3,10,3,1,-3,74.64,295.64,47.79,87,2.94
38,37,0,0,, , , , , , , , ,82,0
39,38,0,1,16,2,1,-1,8,0,97.15,359.95,84.83,67,3.22
40,39,0,0,, , , , , , , , ,82,0
41,40,0,1,-2,10,11,26,3,2,191.57,173.43,41.79,87,2.70
42,41,0,1,5,-16,8,-8,9,23,17.71,101.14,63.73,80,2.14
43,42,0,1,5,0,14,0,1,0,92.50,354.39,19.79,105,3.46
44,43,0,1,7,6,-7,0,7,6,129.71,54.32,126.24,125,3.31
45,44,0,1,20,1,1,-2,27,13,93.46,25.82,87.71,65,2.95
46,45,0,1,0,11,-12,-25,12,11,181.49,33.53,137.45,59,2.52
47,46,0,1,-2,15,-5,-10,7,25,187.35,70.56,108.54,65,1.80
48,47,0,1,1,-17,7,29,-2,-9,3.26,341.38,68.13,101,2.98
49,48,0,1,-2,10,-3,20,1,-10,191.73,208.13,106.44,116,3.45
50,49,0,1,-6,14,3,17,12,-22,202.51,227.84,78.42,132,3.16
51,50,0,0,, , , , , , , , ,142,0
52,51,0,0,, , , , , , , , ,121,0
53,52,0,1,-5,-1,12,8,20,5,282.26,143.58,23.51,63,2.80
54,53,0,1,-1,11,0,0,0,1,185.34,91.07,91.11,55,2.57
55,54,0,1,4,7,8,25,-4,-9,149.17,209.03,45.30,102,2.39
56,55,0,1,6,-4,5,-16,1,20,56.74,109.07,55.65,110,3.22
57,56,0,1,5,1,1,-1,13,-8,100.57,328.09,78.28,134,1.28
58,57,0,1,13,-5,14,-19,1,18,68.63,102.36,44.85,111,3.23
59,58,0,0,, , , , , , , , ,101,0
60,59,0,0,, , , , , , , , ,60,0
61,60,0,0,, , , , , , , , ,120,0
62,61,0,1,-6,13,-13,13,-9,-15,204.50,248.06,131.69,123,2.99
63,62,0,1,6,-5,16,12,-8,-7,51.07,274.73,26.44,116,2.67
64,63,0,1,10,-7,11,5,26,12,55.36,33.01,47.82,101,3.32
65,64,0,1,0,6,-1,20,-1,-6,180.24,196.82,99.70,148,2.93
66,65,0,1,-5,13,-12,15,-9,-16,201.29,243.41,130.06,167,3.49
67,66,0,1,14,-1,-8,13,-10,24,85.71,107.95,118.98,164,3.14
68,67,0,0,, , , , , , , , ,123,0
69,68,0,1,-1,-1,20,13,27,2,323.04,101.15,4.31,118,3.45
70,69,0,0,, , , , , , , , ,85,0
71,70,0,1,11,-13,5,10,5,-9,41.12,318.39,74.29,103,3.45
