x,y,パターン クオリティ
0,0,85
1,0,100
2,0,85
3,0,91
4,0,83
5,0,100
6,0,123
7,0,144
8,0,158
9,0,163
10,0,170
11,0,155
12,0,129
13,0,118
14,0,131
15,0,109
16,0,94
17,0,78
18,0,55
19,0,133
20,0,149
21,0,159
22,0,164
23,0,155
24,0,156
25,0,142
26,0,122
27,0,84
28,0,46
29,0,64
30,0,79
31,0,31
32,0,79
33,0,116
34,0,84
35,0,86
36,0,87
37,0,82
38,0,67
39,0,82
40,0,87
41,0,80
42,0,105
43,0,125
44,0,65
45,0,59
46,0,65
47,0,101
48,0,116
49,0,132
50,0,142
51,0,121
52,0,63
53,0,55
54,0,102
55,0,110
56,0,134
57,0,111
58,0,101
59,0,60
60,0,120
61,0,123
62,0,116
63,0,101
64,0,148
65,0,167
66,0,164
67,0,123
68,0,118
69,0,85
70,0,103
71,0,127
72,0,141
73,0,136
74,0,144
75,0,144
76,0,128
77,0,118
78,0,133
79,0,125
80,0,102
81,0,64
82,0,51
83,0,83
84,0,87
85,0,70
86,0,76
87,0,80
88,0,92
89,0,77
90,0,68
91,0,92
92,0,89
93,0,143
94,0,143
95,0,137
96,0,136
97,0,136
98,0,142
99,0,133
100,0,132
101,0,119
102,0,101
103,0,89
104,0,98
105,0,84
106,0,89
107,0,111
108,0,141
109,0,137
110,0,140
111,0,153
112,0,132
113,0,136
114,0,138
115,0,128
116,0,123
117,0,64
118,0,79
119,0,72
120,0,70
121,0,79
122,0,72
123,0,63
124,0,97
125,0,93
126,0,111
127,0,121
0,1,80
1,1,75
2,1,63
3,1,72
4,1,83
5,1,132
6,1,140
7,1,144
8,1,144
9,1,158
10,1,148
11,1,129
12,1,96
13,1,120
14,1,104
15,1,92
16,1,82
17,1,81
18,1,102
19,1,132
20,1,162
21,1,167
22,1,161
23,1,162
24,1,149
25,1,142
26,1,90
27,1,61
28,1,50
29,1,55
30,1,73
31,1,89
32,1,110
33,1,132
34,1,122
35,1,110
36,1,78
37,1,66
38,1,86
39,1,70
40,1,111
41,1,117
42,1,142
43,1,122
44,1,74
45,1,57
46,1,73
47,1,93
48,1,102
49,1,96
50,1,96
51,1,59
52,1,63
53,1,98
54,1,107
55,1,109
56,1,87
57,1,64
58,1,84
59,1,101
60,1,143
61,1,128
62,1,135
63,1,136
64,1,151
65,1,164
66,1,147
67,1,129
68,1,78
69,1,91
70,1,138
71,1,134
72,1,129
73,1,152
74,1,147
75,1,151
76,1,137
77,1,136
78,1,137
79,1,100
80,1,80
81,1,52
82,1,78
83,1,56
84,1,65
85,1,59
86,1,61
87,1,93
88,1,105
89,1,115
90,1,121
91,1,162
92,1,178
93,1,173
94,1,186
95,1,184
96,1,168
97,1,183
98,1,158
99,1,144
100,1,129
101,1,146
102,1,100
103,1,106
104,1,71
105,1,72
106,1,104
107,1,120
108,1,116
109,1,133
110,1,138
111,1,140
112,1,117
113,1,119
114,1,119
115,1,111
116,1,90
117,1,64
118,1,77
119,1,66
120,1,49
121,1,55
122,1,84
123,1,95
124,1,116
125,1,137
126,1,125
127,1,125
0,2,71
1,2,66
2,2,52
3,2,58
4,2,66
5,2,111
6,2,121
7,2,138
8,2,140
9,2,136
10,2,112
11,2,101
12,2,97
13,2,95
14,2,96
15,2,79
16,2,105
17,2,115
18,2,113
19,2,123
20,2,141
21,2,123
22,2,157
23,2,123
24,2,113
25,2,77
26,2,74
27,2,59
28,2,48
29,2,60
30,2,68
31,2,103
32,2,146
33,2,141
34,2,121
35,2,118
36,2,103
37,2,85
38,2,95
39,2,88
40,2,126
41,2,136
42,2,149
43,2,119
44,2,80
45,2,64
46,2,72
47,2,106
48,2,79
49,2,65
50,2,69
51,2,56
52,2,58
53,2,103
54,2,79
55,2,90
56,2,73
57,2,71
58,2,96
59,2,105
60,2,111
61,2,129
62,2,133
63,2,161
64,2,174
65,2,158
66,2,148
67,2,81
68,2,100
69,2,121
70,2,143
71,2,148
72,2,146
73,2,146
74,2,149
75,2,152
76,2,140
77,2,136
78,2,133
79,2,115
80,2,75
81,2,68
82,2,69
83,2,64
84,2,78
85,2,72
86,2,70
87,2,115
88,2,143
89,2,152
90,2,169
91,2,187
